signal,system,trial,requested_rps,completed_requests,nominal_achieved_rps,effective_completion_rps,elapsed_to_last_completion_s,post_window_drain_s,latency_mean_us,latency_p50_us,latency_p95_us,latency_p99_us,latency_max_us,scheduling_mean_us,scheduling_p95_us,scheduling_p99_us,scheduling_max_us,interarrival_mean_us,worker_busy_events,backlog_count,http_errors,connection_errors,timeouts,other_errors,valid_steady_state,invalid_reason
ngram,XSR,1,100,4000,100.0,100.02104479040018,39.991583855,0.0,810.00014375,538.9825,2334.03265,5038.591089999998,8782.282,1037.699111,2012.8888,2116.5872,2824.285,9999.970340585147,0,0,0,0,0,0,True,
ngram,VSR,1,100,4000,100.0,100.01782938080152,39.992869519,0.0,3114.28829525,2266.4595,8419.620249999998,14804.33082999998,20464.22,628.196991,1075.2128500000001,1189.8795599999992,1812.362,9999.923783445862,0,0,0,0,0,0,True,
ngram,LLMR,1,100,4000,100.0,29.45124641665847,135.81768131,95.81768131000001,135768.26983275,99556.0595,341767.6039,433725.2111599998,582381.819,47993071.20811625,89078136.48324999,95196741.57149,95755822.714,33937.688189047265,3996,3996,0,0,0,0,False,dispatch delayed over nominal interval; worker busy/backlog; effective completion rate
ngram,XSR,2,100,4000,100.0,100.02307539100828,39.990771973,0.0,808.53285575,539.3275,2299.3995999999997,4869.620009999977,8385.709,1015.26672325,1995.16105,2105.84531,2553.653,9999.791637409353,0,0,0,0,0,0,True,
ngram,VSR,2,100,4000,100.0,100.01578280807723,39.993687873,0.0,3111.75614525,2271.9905,8425.16525,14503.402079999963,22173.157,624.18509975,1080.99435,1130.5555499999998,2095.294,10000.242526381595,0,0,0,0,0,0,True,
ngram,LLMR,2,100,4000,100.0,29.43493564200075,135.892941933,95.892941933,135828.814312,100405.28,347799.1793999989,412113.6747699998,453261.957,47405986.4879015,89096262.71725,95283857.11283,95896275.333,33951.297653663416,3996,3996,0,0,0,0,False,dispatch delayed over nominal interval; worker busy/backlog; effective completion rate
ngram,XSR,3,100,4000,100.0,100.02155444243868,39.991380081,0.0,811.39964925,539.178,2313.6957499999994,4977.784339999998,8338.188,1027.27149925,1998.41195,2108.29076,2707.684,10000.00827431858,0,0,0,0,0,0,True,
ngram,VSR,3,100,4000,100.0,100.01715273415832,39.993140083,0.0,3131.6000625,2280.3085,8406.826449999999,14538.130219999995,20352.778,638.60500975,1080.1000999999999,1134.83658,1877.698,10000.010948487121,0,0,0,0,0,0,True,
ngram,LLMR,3,100,4000,100.0,29.602751501561656,135.122574663,95.122574663,135073.954594,98990.8,341905.8422,430702.02265,574650.651,47441882.830006,88362993.92875,94525995.39327,95067059.805,33765.15172443111,3996,3996,0,0,0,0,False,dispatch delayed over nominal interval; worker busy/backlog; effective completion rate
ngram,XSR,4,100,4000,100.0,100.02034806709601,39.991862429,0.0,808.03423225,535.5899999999999,2309.9361499999995,4989.9791899999955,8509.138,1027.124969,2008.5921499999997,2106.1897599999998,2710.456,10000.266433858465,0,0,0,0,0,0,True,
