signal,concurrency,trial,system,throughput_rps,valid
ngram,1,1,XSR,1992.58,True
ngram,1,1,VSR,295.61,True
ngram,1,1,LLMR,30.72,True
ngram,1,2,XSR,2002.06,True
ngram,1,2,VSR,294.9,True
ngram,1,2,LLMR,30.55,True
ngram,1,3,XSR,1994.33,True
ngram,1,3,VSR,294.45,True
ngram,1,3,LLMR,30.62,True
ngram,1,4,XSR,1978.24,True
ngram,1,4,VSR,295.19,True
ngram,1,4,LLMR,30.66,True
ngram,1,5,XSR,1998.76,True
ngram,1,5,VSR,294.99,True
ngram,1,5,LLMR,30.68,True
ngram,2,1,XSR,3556.32,True
ngram,2,1,VSR,396.6,True
ngram,2,1,LLMR,29.61,True
ngram,2,2,XSR,3622.1,True
ngram,2,2,VSR,396.96,True
ngram,2,2,LLMR,29.61,True
ngram,2,3,XSR,3539.45,True
ngram,2,3,VSR,394.86,True
ngram,2,3,LLMR,29.61,True
ngram,2,4,XSR,3590.76,True
ngram,2,4,VSR,405.62,True
ngram,2,4,LLMR,29.62,True
ngram,2,5,XSR,3584.86,True
ngram,2,5,VSR,407.78,True
ngram,2,5,LLMR,29.67,True
ngram,4,1,XSR,6053.59,True
ngram,4,1,VSR,473.4,True
ngram,4,1,LLMR,34.61,True
ngram,4,2,XSR,6013.9,True
ngram,4,2,VSR,464.41,True
ngram,4,2,LLMR,34.37,True
ngram,4,3,XSR,6046.2,True
ngram,4,3,VSR,467.6,True
ngram,4,3,LLMR,34.26,True
ngram,4,4,XSR,6017.99,True
ngram,4,4,VSR,456.71,True
ngram,4,4,LLMR,34.27,True
ngram,4,5,XSR,5999.12,True
ngram,4,5,VSR,459.71,True
ngram,4,5,LLMR,34.66,True
ngram,8,1,XSR,6065.28,True
ngram,8,1,VSR,502.48,True
ngram,8,1,LLMR,34.75,True
ngram,8,2,XSR,6001.82,True
ngram,8,2,VSR,514.19,True
ngram,8,2,LLMR,34.76,True
ngram,8,3,XSR,6088.02,True
ngram,8,3,VSR,498.58,True
ngram,8,3,LLMR,34.46,True
ngram,8,4,XSR,6092.45,True
ngram,8,4,VSR,508.07,True
ngram,8,4,LLMR,34.7,True
ngram,8,5,XSR,6130.67,True
ngram,8,5,VSR,512.0,True
ngram,8,5,LLMR,34.75,True
ngram,16,1,XSR,6047.93,True
ngram,16,1,VSR,533.91,True
ngram,16,1,LLMR,34.75,True
ngram,16,2,XSR,5998.05,True
ngram,16,2,VSR,523.18,True
ngram,16,2,LLMR,34.76,True
ngram,16,3,XSR,6034.22,True
ngram,16,3,VSR,530.18,True
ngram,16,3,LLMR,34.75,True
ngram,16,4,XSR,6085.57,True
ngram,16,4,VSR,535.98,True
ngram,16,4,LLMR,34.75,True
ngram,16,5,XSR,6043.58,True
ngram,16,5,VSR,537.8,True
ngram,16,5,LLMR,34.76,True
ngram,32,1,XSR,6029.63,True
ngram,32,1,VSR,545.35,True
ngram,32,1,LLMR,34.35,True
ngram,32,2,XSR,6030.56,True
ngram,32,2,VSR,541.06,True
ngram,32,2,LLMR,34.35,True
ngram,32,3,XSR,6037.09,True
ngram,32,3,VSR,537.81,True
ngram,32,3,LLMR,34.35,True
ngram,32,4,XSR,6035.84,True
ngram,32,4,VSR,544.23,True
ngram,32,4,LLMR,34.35,True
ngram,32,5,XSR,6051.44,True
ngram,32,5,VSR,546.69,True
ngram,32,5,LLMR,34.35,True
ngram,64,1,XSR,6001.77,True
ngram,64,1,VSR,545.7,True
ngram,64,1,LLMR,33.54,True
ngram,64,2,XSR,6005.19,True
ngram,64,2,VSR,547.93,True
ngram,64,2,LLMR,33.55,True
ngram,64,3,XSR,5958.71,True
ngram,64,3,VSR,537.59,True
ngram,64,3,LLMR,33.55,True
ngram,64,4,XSR,6056.46,True
ngram,64,4,VSR,538.01,True
ngram,64,4,LLMR,33.54,True
ngram,64,5,XSR,6013.82,True
ngram,64,5,VSR,534.23,True
ngram,64,5,LLMR,33.54,True
ngram,96,1,XSR,6025.44,True
ngram,96,1,VSR,530.15,True
ngram,96,1,LLMR,33.55,True
ngram,96,2,XSR,5974.01,True
ngram,96,2,VSR,533.02,True
ngram,96,2,LLMR,33.55,True
ngram,96,3,XSR,5992.9,True
ngram,96,3,VSR,532.08,True
ngram,96,3,LLMR,33.55,True
ngram,96,4,XSR,5918.5,True
ngram,96,4,VSR,557.73,True
ngram,96,4,LLMR,33.55,True
ngram,96,5,XSR,5904.18,True
ngram,96,5,VSR,532.5,True
ngram,96,5,LLMR,33.55,True
ngram,128,1,XSR,5992.22,True
ngram,128,1,VSR,557.0,True
ngram,128,1,LLMR,31.94,True
ngram,128,2,XSR,5938.29,True
ngram,128,2,VSR,549.34,True
ngram,128,2,LLMR,31.95,True
ngram,128,3,XSR,5946.1,True
ngram,128,3,VSR,507.43,True
ngram,128,3,LLMR,31.94,True
ngram,128,4,XSR,5973.32,True
ngram,128,4,VSR,551.41,True
ngram,128,4,LLMR,31.94,True
ngram,128,5,XSR,6025.27,True
ngram,128,5,VSR,549.28,True
ngram,128,5,LLMR,31.94,True
bm25,1,1,XSR,5678.71,True
bm25,1,1,VSR,537.36,True
bm25,1,1,LLMR,44.44,True
bm25,1,2,XSR,5689.12,True
bm25,1,2,VSR,534.87,True
bm25,1,2,LLMR,44.12,True
bm25,1,3,XSR,5669.17,True
bm25,1,3,VSR,534.28,True
bm25,1,3,LLMR,44.19,True
bm25,1,4,XSR,5661.03,True
bm25,1,4,VSR,532.78,True
bm25,1,4,LLMR,44.09,True
bm25,1,5,XSR,5670.62,True
bm25,1,5,VSR,536.31,True
bm25,1,5,LLMR,44.08,True
bm25,2,1,XSR,10054.65,True
bm25,2,1,VSR,910.12,True
bm25,2,1,LLMR,44.05,True
bm25,2,2,XSR,10067.23,True
bm25,2,2,VSR,852.97,True
bm25,2,2,LLMR,44.32,True
bm25,2,3,XSR,10122.81,True
bm25,2,3,VSR,909.68,True
bm25,2,3,LLMR,44.04,True
bm25,2,4,XSR,10059.76,True
bm25,2,4,VSR,913.25,True
bm25,2,4,LLMR,44.11,True
bm25,2,5,XSR,10049.65,True
bm25,2,5,VSR,914.75,True
bm25,2,5,LLMR,44.12,True
bm25,4,1,XSR,22571.14,True
bm25,4,1,VSR,1290.11,True
bm25,4,1,LLMR,43.57,True
bm25,4,2,XSR,22575.23,True
bm25,4,2,VSR,1284.67,True
bm25,4,2,LLMR,43.46,True
bm25,4,3,XSR,22494.87,True
bm25,4,3,VSR,1279.48,True
bm25,4,3,LLMR,43.61,True
bm25,4,4,XSR,22432.56,True
bm25,4,4,VSR,1283.22,True
bm25,4,4,LLMR,43.16,True
bm25,4,5,XSR,22516.24,True
bm25,4,5,VSR,1290.22,True
bm25,4,5,LLMR,43.16,True
bm25,8,1,XSR,22744.89,True
bm25,8,1,VSR,1532.75,True
bm25,8,1,LLMR,44.54,True
bm25,8,2,XSR,22904.01,True
bm25,8,2,VSR,1533.64,True
bm25,8,2,LLMR,44.55,True
bm25,8,3,XSR,22858.4,True
bm25,8,3,VSR,1538.41,True
bm25,8,3,LLMR,44.95,True
bm25,8,4,XSR,22800.25,True
bm25,8,4,VSR,1543.71,True
bm25,8,4,LLMR,44.13,True
bm25,8,5,XSR,23028.75,True
bm25,8,5,VSR,1547.66,True
bm25,8,5,LLMR,44.35,True
bm25,16,1,XSR,22840.59,True
bm25,16,1,VSR,1690.68,True
bm25,16,1,LLMR,45.14,True
bm25,16,2,XSR,22827.26,True
bm25,16,2,VSR,1689.27,True
bm25,16,2,LLMR,45.11,True
bm25,16,3,XSR,22758.58,True
bm25,16,3,VSR,1687.35,True
bm25,16,3,LLMR,45.04,True
bm25,16,4,XSR,22736.14,True
bm25,16,4,VSR,1704.42,True
bm25,16,4,LLMR,45.55,True
bm25,16,5,XSR,22761.58,True
bm25,16,5,VSR,1692.31,True
bm25,16,5,LLMR,44.74,True
bm25,32,1,XSR,22588.57,True
bm25,32,1,VSR,1802.54,True
bm25,32,1,LLMR,43.93,True
bm25,32,2,XSR,22730.12,True
bm25,32,2,VSR,1790.37,True
bm25,32,2,LLMR,43.94,True
bm25,32,3,XSR,22704.68,True
bm25,32,3,VSR,1772.33,True
bm25,32,3,LLMR,43.94,True
bm25,32,4,XSR,22780.5,True
bm25,32,4,VSR,1777.41,True
bm25,32,4,LLMR,43.94,True
bm25,32,5,XSR,22777.05,True
bm25,32,5,VSR,1765.81,True
bm25,32,5,LLMR,44.13,True
bm25,64,1,XSR,22607.98,True
bm25,64,1,VSR,1876.36,True
bm25,64,1,LLMR,43.12,True
bm25,64,2,XSR,22649.48,True
bm25,64,2,VSR,1841.8,True
bm25,64,2,LLMR,43.13,True
bm25,64,3,XSR,22569.44,True
bm25,64,3,VSR,1839.15,True
bm25,64,3,LLMR,43.13,True
bm25,64,4,XSR,22632.07,True
bm25,64,4,VSR,1831.83,True
bm25,64,4,LLMR,43.13,True
bm25,64,5,XSR,22518.13,True
bm25,64,5,VSR,1833.33,True
bm25,64,5,LLMR,43.13,True
bm25,96,1,XSR,22613.7,True
bm25,96,1,VSR,1887.91,True
bm25,96,1,LLMR,43.13,True
bm25,96,2,XSR,22413.16,True
bm25,96,2,VSR,1883.45,True
bm25,96,2,LLMR,43.14,True
bm25,96,3,XSR,22458.59,True
bm25,96,3,VSR,1848.57,True
bm25,96,3,LLMR,43.13,True
bm25,96,4,XSR,22495.23,True
bm25,96,4,VSR,1849.25,True
bm25,96,4,LLMR,43.14,True
bm25,96,5,XSR,22564.47,True
bm25,96,5,VSR,1862.24,True
bm25,96,5,LLMR,43.13,True
bm25,128,1,XSR,22178.17,True
bm25,128,1,VSR,1891.82,True
bm25,128,1,LLMR,41.52,True
bm25,128,2,XSR,22215.69,True
bm25,128,2,VSR,1898.69,True
bm25,128,2,LLMR,41.53,True
bm25,128,3,XSR,22274.33,True
bm25,128,3,VSR,1884.56,True
bm25,128,3,LLMR,41.52,True
